epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,5528.7,1.7165,1.64291,1.51994,0.78173,0.44826,0.56162,0.2759,2.20551,1.75576,1.8797,0.0004556,0.0004556,0.0004556
41,5834.21,1.68018,1.7831,1.61745,0.89254,0.41667,0.57518,0.28721,2.0553,1.74434,1.81534,0.000416,0.000416,0.000416
42,6163.08,1.65385,1.69923,1.59659,0.89269,0.41667,0.559,0.26375,2.04773,1.80503,1.82826,0.0003764,0.0003764,0.0003764
43,6493.83,1.66643,1.694,1.56194,0.896,0.41667,0.56448,0.29692,1.96499,1.73036,1.84146,0.0003368,0.0003368,0.0003368
44,6876.77,1.55155,1.63509,1.51015,0.89762,0.41667,0.53817,0.26172,2.05829,1.78341,1.89268,0.0002972,0.0002972,0.0002972
45,7251.76,1.54928,1.6688,1.53308,0.89927,0.41667,0.54157,0.26624,2.10154,1.84487,1.88332,0.0002576,0.0002576,0.0002576
46,7583.73,1.54555,1.61828,1.53299,0.89842,0.41667,0.54313,0.27479,2.09765,1.74661,1.84789,0.000218,0.000218,0.000218
47,7975.34,1.55402,1.59878,1.56192,0.89973,0.41667,0.54776,0.26636,2.08976,1.70096,1.79409,0.0001784,0.0001784,0.0001784
48,8312.25,1.54465,1.57558,1.47514,0.90117,0.41667,0.54041,0.26445,2.08766,1.72441,1.79521,0.0001388,0.0001388,0.0001388
49,8630.09,1.50759,1.58693,1.45197,0.8252,0.41667,0.53539,0.27052,2.08703,1.78087,1.80472,9.92e-05,9.92e-05,9.92e-05
50,8964.98,1.46183,1.48988,1.46645,0.82463,0.41667,0.55868,0.28025,2.0766,1.79651,1.81492,5.96e-05,5.96e-05,5.96e-05
