epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,98.5788,2.85614,5.01837,2.32477,0.00167,0.5,0.3635,0.2177,1.84812,4.18679,1.60444,0.0002,0.0002,0.0002
2,184.34,2.54984,4.00797,2.03682,0.00167,0.5,0.29504,0.15247,1.79486,4.3173,1.62279,0.000411684,0.000411684,0.000411684
3,277.495,2.39524,3.56194,1.89928,0.00181,0.54167,0.29859,0.16376,2.0221,4.23382,1.6685,0.000614656,0.000614656,0.000614656
4,361.501,2.34812,3.51644,1.89691,0.00181,0.54167,0.31836,0.14169,2.3304,4.43764,1.87527,0.000808916,0.000808916,0.000808916
5,444.378,2.32832,3.15636,1.8811,0.00191,0.375,0.18187,0.0782,2.11515,4.29078,2.01167,0.000994464,0.000994464,0.000994464
6,529.771,2.37526,3.39384,1.98677,0.00194,0.58333,0.2838,0.08466,2.23706,4.1867,2.02383,0.0011713,0.0011713,0.0011713
7,616.461,2.3672,3.27988,1.94982,0.38508,0.33333,0.2501,0.07115,2.5339,4.05169,2.3755,0.00133942,0.00133942,0.00133942
8,706.581,2.26913,3.01618,1.87982,0.35062,0.125,0.117,0.03279,2.493,3.98556,2.36431,0.00149884,0.00149884,0.00149884
9,790.136,2.28775,2.82238,1.89249,0.03271,0.04167,0.01311,0.00392,2.86838,4.88576,2.83378,0.00164954,0.00164954,0.00164954
10,882.417,2.3536,2.86883,1.89841,0.16193,0.16667,0.1313,0.07045,2.52747,3.50454,2.32714,0.0016436,0.0016436,0.0016436
11,986.989,2.27262,2.65757,1.81843,0.54003,0.16667,0.16971,0.06011,2.8623,5.66796,2.71482,0.001604,0.001604,0.001604
12,1079.15,2.16274,2.55786,1.77652,0.18589,0.20833,0.11183,0.03346,2.82177,3.76985,2.35114,0.0015644,0.0015644,0.0015644
13,1176.33,2.21246,2.589,1.90915,0.28222,0.25,0.11977,0.05954,2.82049,4.68241,2.35811,0.0015248,0.0015248,0.0015248
14,1262.18,2.1132,2.40504,1.72801,0.34944,0.125,0.10117,0.03904,2.69644,4.50979,2.30957,0.0014852,0.0014852,0.0014852
15,1353.91,2.18833,2.58927,1.819,0.40348,0.41667,0.35848,0.10181,2.41555,4.07927,2.31065,0.0014456,0.0014456,0.0014456
16,1449.43,2.05507,2.43754,1.74707,0.5991,0.45833,0.475,0.20168,2.24913,2.88575,2.32054,0.001406,0.001406,0.001406
17,1575.71,2.05898,2.24784,1.74971,0.78251,0.375,0.40481,0.16399,2.33066,2.45253,2.26933,0.0013664,0.0013664,0.0013664
18,1720.4,2.11627,2.19667,1.74875,0.64044,0.33333,0.37208,0.13976,2.58044,2.54116,2.24705,0.0013268,0.0013268,0.0013268
19,1869.46,2.16591,2.28184,1.82464,0.44165,0.375,0.40789,0.18054,2.4607,2.50827,2.15466,0.0012872,0.0012872,0.0012872
20,1965.89,2.09943,2.13773,1.73285,0.75665,0.41667,0.45049,0.1988,2.30517,2.18528,2.04986,0.0012476,0.0012476,0.0012476
21,2069.61,2.19963,2.17014,1.8218,0.66094,0.41667,0.44406,0.22657,2.29711,2.37589,2.04124,0.001208,0.001208,0.001208
22,2168.21,2.01387,1.99707,1.68153,0.75122,0.41667,0.40277,0.17714,2.49813,2.72855,2.11382,0.0011684,0.0011684,0.0011684
23,2255.85,2.05221,2.136,1.72104,0.72553,0.41667,0.45522,0.19796,2.28182,2.28062,1.94647,0.0011288,0.0011288,0.0011288
24,2359.31,1.97456,2.01893,1.67647,0.90664,0.40543,0.45658,0.16936,2.3607,2.1225,2.0217,0.0010892,0.0010892,0.0010892
25,2478.32,2.04528,2.10918,1.68916,0.78272,0.375,0.42398,0.19037,2.41819,2.12403,2.0944,0.0010496,0.0010496,0.0010496
26,2579.15,2.02266,2.07725,1.75539,0.87881,0.41667,0.49667,0.24876,2.31889,1.9758,1.9435,0.00101,0.00101,0.00101
27,2703.61,1.92473,1.91893,1.63259,0.8317,0.41218,0.43459,0.20895,2.35033,2.06306,2.04911,0.0009704,0.0009704,0.0009704
28,2908.31,1.91397,1.95387,1.65566,0.3671,0.41667,0.39035,0.13638,2.46197,2.20532,2.27908,0.0009308,0.0009308,0.0009308
29,3029.3,1.84033,1.87647,1.63938,0.93908,0.41667,0.46037,0.22643,2.25771,1.94414,1.96908,0.0008912,0.0008912,0.0008912
30,3161.92,1.93596,1.8465,1.62581,0.83153,0.41667,0.47004,0.23257,2.26661,1.93655,1.91155,0.0008516,0.0008516,0.0008516
31,3314.83,1.80465,1.76698,1.56025,0.90892,0.41587,0.48404,0.22941,2.08034,1.82458,1.90207,0.000812,0.000812,0.000812
32,3512.82,1.9355,1.87944,1.64791,0.87455,0.41667,0.48395,0.2299,2.16672,1.85467,1.96123,0.0007724,0.0007724,0.0007724
33,3674.72,1.86093,1.77219,1.55911,0.87905,0.41667,0.4664,0.21343,2.17212,1.92803,1.9436,0.0007328,0.0007328,0.0007328
34,3921.07,1.72192,1.63785,1.528,0.757,0.39017,0.44564,0.22383,2.0852,2.19422,1.93175,0.0006932,0.0006932,0.0006932
35,4086.5,1.86226,1.74738,1.61161,0.64862,0.41667,0.46165,0.21581,2.10497,2.0189,1.87585,0.0006536,0.0006536,0.0006536
36,4299.85,1.77264,1.73935,1.54847,0.83992,0.41667,0.49933,0.2279,2.09117,1.89527,1.82155,0.000614,0.000614,0.000614
37,4607.95,1.71529,1.59777,1.48404,0.89159,0.41667,0.49172,0.22855,2.05273,1.87296,1.80263,0.0005744,0.0005744,0.0005744
38,4856.32,1.7035,1.5362,1.45407,0.80443,0.41667,0.50824,0.25182,2.11934,1.72421,1.8834,0.0005348,0.0005348,0.0005348
39,5115.35,1.67621,1.62937,1.49182,0.81116,0.41667,0.54045,0.26741,2.0897,1.78228,1.85486,0.0004952,0.0004952,0.0004952
